database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
ieee,17,10.1109/CloudCom2018.2018.00045,Building IoT Systems Using Distributed First-Class Reactive Programming,C. de Troyer; J. Nicolay; W. de Meuter,building iot systems using distributed first class reactive programming,c de troyer j nicolay w de meuter,2018,10.1109/CloudCom2018.2018.00045,2018 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591014
ieee,18,10.1109/ICCIT.2007.340,Functional Reactive Program Translator for Controlling Robot Systems,B. -J. Lee; D. -J. Lee; G. Woo,functional reactive program translator for controlling robot systems,b j lee d j lee g woo,2007,10.1109/ICCIT.2007.340,2007 International Conference on Convergence Information Technology (ICCIT 2007),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4420439
ieee,19,10.1109/IWSM-Mensura.2013.11,Fast Functional Size Measurement with Synchronous Languages: An Approach Based on LUSTRE and on the Cosmic ISO 19761 Standard,H. Soubra,fast functional size measurement with synchronous languages an approach based on lustre and on the cosmic iso 19761 standard,h soubra,2013,10.1109/IWSM-Mensura.2013.11,2013 Joint Conference of the 23rd International Workshop on Software Measurement and the 8th International Conference on Software Process and Product Measurement,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693215
ieee,20,10.1109/HPCS.2018.00093,Autonomic Management of Reconfigurations in DPR FPGA-based Embedded System,S. M. -K. Gueye; É. Rutten; J. -P. Diguet,autonomic management of reconfigurations in dpr fpga based embedded system,s m k gueye é rutten j p diguet,2018,10.1109/HPCS.2018.00093,2018 International Conference on High Performance Computing & Simulation (HPCS),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8514398
ieee,21,10.1109/IC3ECSBHI63591.2025.10991162,IoT-Web Smart Waste Management System for Environmental Sustainability in Smart Cities: An Integrated Approach Under Swachh Bharat Mission,Shwetank; A. Vishwakarma; S. Prajapati; Amrish; S. Kumar,iot web smart waste management system for environmental sustainability in smart cities an integrated approach under swachh bharat mission,shwetank a vishwakarma s prajapati amrish s kumar,2025,10.1109/IC3ECSBHI63591.2025.10991162,"2025 International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10991162
ieee,22,10.1109/ICVD.2004.1260897,"Synchronous methodology for designing hardware, software and mixed embedded systems",G. Berry,synchronous methodology for designing hardware software and mixed embedded systems,g berry,2004,10.1109/ICVD.2004.1260897,17th International Conference on VLSI Design. Proceedings.,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1260897
ieee,23,10.1109/CACSD.1999.808656,On the compilation of statecharts models into target code for embedded systems,E. Erpenbach; J. Stroop; F. J. Rammig,on the compilation of statecharts models into target code for embedded systems,e erpenbach j stroop f j rammig,1999,10.1109/CACSD.1999.808656,Proceedings of the 1999 IEEE International Symposium on Computer Aided Control System Design (Cat. No.99TH8404),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808656
ieee,24,10.1109/RTCSA.2013.6732235,Targeting different abstraction layers by model-based design methods for embedded systems: A case study,O. Rafique; M. Gesell; K. Schneider,targeting different abstraction layers by model based design methods for embedded systems a case study,o rafique m gesell k schneider,2013,10.1109/RTCSA.2013.6732235,2013 IEEE 19th International Conference on Embedded and Real-Time Computing Systems and Applications,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6732235
ieee,25,10.1109/TrustCom.2011.133,Feasibility Interval for the Transactional Event Handlers of P-FRP,C. Belwal; A. M. K. Cheng,feasibility interval for the transactional event handlers of p frp,c belwal a m k cheng,2011,10.1109/TrustCom.2011.133,"2011IEEE 10th International Conference on Trust, Security and Privacy in Computing and Communications",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6120926
ieee,26,10.1109/DASC.2006.45,SmartC: A Component-Based Hierarchical Modeling Language for Automotive Electronics,G. Yang; H. Li; Z. Wu,smartc a component based hierarchical modeling language for automotive electronics,g yang h li z wu,2006,10.1109/DASC.2006.45,"2006 2nd IEEE International Symposium on Dependable, Autonomic and Secure Computing",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4030884
