"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Formal Semantics of Clock Refinement in Imperative Synchronous Languages","M. Gemünde; J. Brandt; K. Schneider","Embedded Systems Group, University of Kaiserslautern, Germany; Embedded Systems Group, University of Kaiserslautern, Germany; Embedded Systems Group, University of Kaiserslautern, Germany",2010 10th International Conference on Application of Concurrency to System Design,"23 Aug 2010","2010","","","157","168","The synchronous model of computation divides the execution of a program into an infinite sequence of so-called macro steps, which are further divided into finitely many micro steps. Since all threads of a program are forced to run in lockstep, programmers have no means to express the independence of parallel threads, which leads to a phenomenon called over-synchronization. In this paper, we therefore propose a generalization of the synchronous model of computation by means of refined clocks, which divide a macro step into finer grained steps that themselves consist of micro steps. In particular, we present a structural operational semantics of sub clocks and prove that the internal asynchrony given by sub clocks still preserves input/output determinism.","1550-4808","978-1-4244-7267-3","10.1109/ACSD.2010.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5552679","Synchronous Languages;Quartz;Semantics;Subclocks","Clocks;Synchronization;Semantics;Computational modeling;Instruction sets;Analytical models","","3","","30","IEEE","23 Aug 2010","21-25 June 2010","21-25 June 2010","IEEE","IEEE Conferences"
"A comparison of OO and reactive based specifications on the design of embedded systems","S. A. Ito; J. C. B. de Mattos; L. Carro; S. S. Toscani","Computer Science, UFRGS, Brazil; Computer Science, UFRGS, Brazil; Electrical Engineering, UFRGS, Brazil; Computer Science, UNICRUZ, Brazil",Proceedings 13th Symposium on Integrated Circuits and Systems Design (Cat. No.PR00843),"6 Aug 2002","2000","","","391","396","The growing complexity of embedded systems has claimed more abstract approaches in order to apply some kind of system-level design methodology. Java is a natural candidate for system design language, due to its well known software compatibility and object-oriented features. On the other hand, reactive synchronous languages such as RS present several advantages to model specific domain applications, like embedded reactive real time systems. This paper presents an initial comparison of Java and RS that adopts different models of computation. The comparison has been made in terms of modeling facilities, simulation capability and synthesis results, obtained from the specification of some embedded systems.","","0-7695-0843-X","10.1109/SBCCI.2000.876060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=876060","","Embedded system;Java;Object oriented modeling;Computer science;Real time systems;Application software;Hardware;Microcontrollers;Indium tin oxide;Communication system control","","","","16","IEEE","6 Aug 2002","18-24 Sept. 2000","18-24 Sept. 2000","IEEE","IEEE Conferences"
"Partitioned Scheduling of P-FRP in Symmetric Homogenous Multiprocessors","C. Belwal; A. M. K. Cheng","Department of Computer Science, University of Houston, TX, USA; Department of Computer Science, University of Houston, TX, USA",2011 IFIP 9th International Conference on Embedded and Ubiquitous Computing,"15 Dec 2011","2011","","","47","54","Functional Reactive Programming (FRP) is a declarative approach to modeling and building reactive systems. Priority-based FRP (P-FRP) has recently been introduced as a FRP formalism that guarantees real-time response. P-FRP guarantees that when a higher priority task is released, the system will immediately preempt any executing lower-priority tasks. To maintain guarantees of state-less execution offered by the functional programming model, P-FRP implements a transactional nature of execution. Each higher priority event in P-FRP can abort a lower priority task forcing it to restart. Existing work on partitioning tasks in multi-processor systems have been focused on the classical preemptive model of execution1. However, due do its transactional nature, the schedulability tests used in the partitioning algorithms for the preemptive model, cannot be applied 'as is' to the P-FRP execution model. While multiprocessor response time analysis of P-FRP has been done in previous work, partitioning schemes for tasks in multi-processor systems have not been presented yet. In this paper, we present an exact schedulability test for P-FRP and use it in two existing first-fit partitioning schemes. We also introduce a new first-fit partitioning scheme based on the processing time of tasks, which yields better results than the other two schemes. We also show that the number of processors required to schedule tasks in P-FRP are more than or equal to the number of processors required to schedule the same in the preemptive model.","","978-1-4577-1822-9","10.1109/EUC.2011.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6104506","Multi-processor scheduling;real-time systems;functional programming;embedded systems;static partitioning","Partitioning algorithms;Processor scheduling;Real time systems;Algorithm design and analysis;Time factors;Functional programming","","5","","34","IEEE","15 Dec 2011","24-26 Oct. 2011","24-26 Oct. 2011","IEEE","IEEE Conferences"
"Autonomic management of missions and reconfigurations in FPGA-based embedded system","S. M. -K. Gueye; É. Rutten; J. -P. Diguet","Inria, Univ. Grenoble Alpes, Grenoble, France; Inria, Univ. Grenoble Alpes, Grenoble, France; CNRS, LAB-STICC, Lorient, France",2017 NASA/ESA Conference on Adaptive Hardware and Systems (AHS),"21 Sep 2017","2017","","","48","55","Implementing self-adaptive embedded systems, such as UV, involves an offline provisioning of the several implementations of the embedded functionalities with different characteristics in resource usage and performance in order for the system to dynamically adapt itself under uncertainties. FPGA-based architectures offer for support for high flexibility with dynamic reconfiguration features. We propose an autonomic control architecture for self-adaptive and self-reconfigurable FPGA-based embedded systems. The control architecture is structured in three layers: a mission manager, a reconfiguration manager and a scheduling manager. In this paper we focus on the design of the reconfiguration manager. We propose a design approach using automata-based discrete control. It involves reactive programming that provides formal semantics, and discrete controller synthesis from declarative objectives.","2471-769X","978-1-5386-3439-4","10.1109/AHS.2017.8046358","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8046358","Reactive languages;Space systems and missions;Performance;cost;power;reliability strategies;Reconfigurable circuits","Field programmable gate arrays;Hardware;Embedded systems;Computer architecture;Programming;Uncertainty;Runtime","","12","","13","IEEE","21 Sep 2017","24-27 July 2017","24-27 July 2017","IEEE","IEEE Conferences"
"RJOP - A customized Java processor for reactive embedded systems","M. Nadeem; M. Biglari-Abhari; Z. Salcic","Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand",2011 48th ACM/EDAC/IEEE Design Automation Conference (DAC),"11 Aug 2011","2011","","","1038","1043","This paper presents a novel, high performance and low cost execution architecture for the system level GALS programming language SystemJ, which extends Java with synchronous reactive features present in Esterel and asynchronous constructs of CSP (Communicating Sequential Processes). The new architecture is based on JOP (Java Optimized Processor), which is a hardware implementation of the Java Virtual Machine (JVM). The JOP, inherently suited to data-driven transformational operations, is extended to efficiently execute the control constructs and control flow of SystemJ. The new core, which is called RJOP (Reactive JOP) supports efficient execution of both data dominated and control dominated embedded applications. It also maintains the time-predictable execution of the applications intended for real-time embedded systems and calculation of Worst Case Reaction Time (WCRT) as provided by the original core. The initial results indicate significant performance improvement and lower resource requirements over the existing architectures used for the SystemJ execution.","85-644924","978-1-4503-0636-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982024","Reactive Embedded Systems;Java Processor;Synchronous Languages","Java;Registers;Process control;Synchronization;Hardware;Embedded systems;Computer architecture","","","","9","","11 Aug 2011","5-9 June 2011","5-9 June 2011","IEEE","IEEE Conferences"
"Building IoT Systems Using Distributed First-Class Reactive Programming","C. de Troyer; J. Nicolay; W. de Meuter","Software Languages Lab, Vrije Universiteit Brussel, Brussels, Belgium; Software Languages Lab, Vrije Universiteit Brussel, Brussels, Belgium; Software Languages Lab, Vrije Universiteit Brussel, Brussels, Belgium",2018 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),"27 Dec 2018","2018","","","185","192","Contemporary IoT systems are challenging to develop, deploy, and maintain. This is because of their ever-increasing scale, dynamic network topologies, heterogeneity and resource constraints of the involved devices, and failures that may occur as a result of these characteristics. Existing approaches are either not at the right level of abstraction, require developers to learn specialized languages, or miss certain key features to address all these challenges in a uniform manner. In this paper we leverage reactive programming and code mobility to support the entire life-cycle of large-scale IoT systems. Our approach is based on existing programming technologies and offers simple and composable abstractions to developers. We implemented our approach in a middleware called Potato and used it to develop and deploy an IoT application on a Raspberry Pi cluster. We found that using Potato reduces much of the accidental complexity associated with developing and deploying IoT systems, resulting in clean and maintainable programs.","2330-2186","978-1-5386-7899-2","10.1109/CloudCom2018.2018.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591014","iot;code mobility;observables;reactive programming","Programming;Thermometers;Smart phones;Runtime;Software;Buildings","","5","","20","IEEE","27 Dec 2018","10-13 Dec. 2018","10-13 Dec. 2018","IEEE","IEEE Conferences"
"Functional Reactive Program Translator for Controlling Robot Systems","B. -J. Lee; D. -J. Lee; G. Woo","Department of Computer Engineering, Pusan National University, South Korea; Test Automation Center, SureSoft Technologies, Inc., USA; Department of Computer Engineering, Pusan National University, South Korea",2007 International Conference on Convergence Information Technology (ICCIT 2007),"7 Jan 2008","2007","","","1322","1325","FRP (functional reactive programming) is a domain- specific sub-language embedded in Haskell. FRP is developed based on the arrow types and suitable for programming reactive systems such as robot systems. An essential higher-order type, namely signal, provides higher levels of abstractions of reactive systems. However, FRP can not be directly applicable to most robot systems since it is implemented on top of a heavy language Haskell. To overcome this limitation, RT-FRP (real-time functional reactive programming) was proposed, but any practical implementation of RT-FRP has not been proposed currently. In this paper, RT-FRP is implemented as a form of C translator. The proposed translator converts RT-FRP programs into C programs. To measure the effectiveness of the RT-FRP translator, some robot control programs are developed, translated, and loaded on top of LEGO MindStorm. According to the experimental result, the reactive logic can be coded more concisely using RT-FRP than C although the size of the binary code is somewhat increased.","","0-7695-3038-9","10.1109/ICCIT.2007.340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4420439","","Robot control;Control systems;Fiber reinforced plastics;Functional programming;Robot programming;Robotics and automation;Delay;Embedded computing;Embedded system;Programming profession","","","","8","IEEE","7 Jan 2008","21-23 Nov. 2007","21-23 Nov. 2007","IEEE","IEEE Conferences"
"Fast Functional Size Measurement with Synchronous Languages: An Approach Based on LUSTRE and on the Cosmic ISO 19761 Standard","H. Soubra","Embedded Systems Group, ESTACA-Engineering School, Laval, France",2013 Joint Conference of the 23rd International Workshop on Software Measurement and the 8th International Conference on Software Process and Product Measurement,"2 Jan 2014","2013","","","3","8","Functional size measurement is considered a complicated, tedious and time-consuming task when performed manually. Automating FSM is one solution to help in applying it and using it. Another solution is designing simple and easy-to-apply FSM procedures. The Synchronous Languages (SL) are built on solid mathematical foundations and used for correctly designing safety-critical reactive real-time systems. They are known for their strong semantic soundness, allowing the design of explicit safely-constructed formal models where the interpretation of a model is unique and reader-independent. These properties are very useful in the context of FSM because they help create simple FSM procedures and hence speed up the measurement process. In this paper, we propose a fast functional size measurement (FSM) procedure, based on the COSMIC method-ISO 19761, for safety-critical real-time systems described with the synchronous language LUSTRE.","","978-0-7695-5078-7","10.1109/IWSM-Mensura.2013.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693215","Synchronous Languages;LUSTRE;SCADE;Functional size measurement;real-time systems;safety-critical systems;COSMIC ISO 19761","Size measurement;Software;Real-time systems;Software measurement;Mathematical model;Modeling;Equations","","1","","18","IEEE","2 Jan 2014","23-26 Oct. 2013","23-26 Oct. 2013","IEEE","IEEE Conferences"
"Autonomic Management of Reconfigurations in DPR FPGA-based Embedded System","S. M. -K. Gueye; É. Rutten; J. -P. Diguet","Univ. Grenoble Alpes, Grenoble INP, LIG, Grenoble, France; Univ. Grenoble Alpes, Grenoble INP, LIG, Grenoble, France; CNRS, LAB-STICC, France",2018 International Conference on High Performance Computing & Simulation (HPCS),"1 Nov 2018","2018","","","557","558","Implementing self-adaptive embedded systems, such as UAVs, involves an offline provisioning of the several implementations of the embedded functionalities with different characteristics in resource usage and performance in order for the system to dynamically adapt itself under uncertainties. FPGA-based architectures offer for support for high flexibility with dynamic reconfiguration features. We propose an autonomic control architecture for self-adaptive and self- reconfigurable FPGA-based embedded systems. The control architecture is structured in three layers: a mission manager, a reconfiguration manager and a scheduling manager. In this work we focus on the design of the reconfiguration manager. We propose a design approach using automata-based discrete control. It involves reactive programming that provides formal semantics, and discrete controller synthesis from declarative objectives.","","978-1-5386-7879-4","10.1109/HPCS.2018.00093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8514398","","Task analysis;Embedded systems;Field programmable gate arrays;Computer architecture;Hardware;Control systems;Programming","","","","10","IEEE","1 Nov 2018","16-20 July 2018","16-20 July 2018","IEEE","IEEE Conferences"
"IoT-Web Smart Waste Management System for Environmental Sustainability in Smart Cities: An Integrated Approach Under Swachh Bharat Mission","Shwetank; A. Vishwakarma; S. Prajapati; Amrish; S. Kumar","DCS, GK(DU), Haridwar, Uttarakhand, India; DCS, GK(DU), Haridwar, Uttarakhand, India; DCS, GK(DU), Haridwar, Uttarakhand, India; CSA, COER University, Roorkee, Uttarakhand, India; DCS, GK(DU), Haridwar, Uttarakhand, India","2025 International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)","20 May 2025","2025","","","369","373","Waste management commonly employs the Internet of Things (IoT) to enhance and refine the processes of waste collection, disposal, and recycling. The present work introduces an IoT-Web Smart Waste Management System (SWMS) under the ‘Swachh Bharat Mission’ for smart cities. This study aims to promote sustainable waste management practices that maintain a clean, eco-friendly environment. We achieve this by integrating robust FRP (fiber-reinforced plastic) with laser sensors (VL53LOX) for accurate garbage level monitoring, load sensors for weight measurement, and microcontrollers (Node-MCU2ESP32 and Arduino) for various tasks. Additionally, an MQ-2 gas sensor identifies unhealthy and flammable gases, signaling the need to clean the bin. The bin lives with a servomotor (MG995), battery, and buzzer. When in operation mode, the lid automatically opens upon an approaching person and closes upon the proper placement of waste. It also prevents overflow by staying shut when it is full. Operators can access real-time data remotely by channelizing and hosting the smart bin on a web server. This cloud-based web application makes it convenient for users to track waste levels, receive alerts when the bin is full, and take timely action, all from the comfort of their home. This IoT and web approach improves waste management by allowing users to make proactive decisions on live data. This model can also be implemented in commercial applications such as schools, colleges, universities, railways, airports, shopping malls, car parks, hospitals, and other public places. This model not only engages children but also makes waste disposal more exciting, thereby promoting better waste management practices. This study is to present an IoT-Web Smart Waste Management System to improve efficiency, reduce costs, and enhance environmental sustainability.","","979-8-3315-1852-3","10.1109/IC3ECSBHI63591.2025.10991162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10991162","IoT;Microcontroller;Waste Management;Environment;Sustainability","Waste management;Microcontrollers;Smart cities;Hospitals;Green products;Rail transportation;Internet of Things;Automobiles;Intelligent sensors;Monitoring","","2","","18","IEEE","20 May 2025","16-18 Jan. 2025","16-18 Jan. 2025","IEEE","IEEE Conferences"
"Synchronous methodology for designing hardware, software and mixed embedded systems","G. Berry","Esterel Technologies, TWINSI, Villeneuve Loubet, France",17th International Conference on VLSI Design. Proceedings.,"24 Aug 2004","2004","","","24","25","The tutorial presents the synchronous methodology for the design of hardware, software, or mixed embedded systems. This methodology was initially developed in the mid 80's in research, with the creation of synchronous languages such as Esterel, Lustre, or Signal. It became industrial in the 90's and is now used in a wide range of applications, from the design of safety-critical systems in avionics or automobile to the design and verification of complex electronic circuits and Systems on Chip. We first present the basic cycle-based synchronous computation model and give a general overview of synchronous techniques, tools, and application areas. We explain why the synchronous approach makes design safer and verification simpler and we give industrial references. We then address the following technical issues: textual vs. graphical specification; sequencing, concurrency, and preemption; control path vs. data path; optimized hardware and software synthesis; formal verification of assertions and properties. We illustrate the topics by various examples, using the Esterel Studio system for demos. Finally, we show how synchronous techniques make it possible to generate hardware or software from the same specification and with the very same semantics, and how they fit in conventional hardware and software workflows.","","0-7695-2072-3","10.1109/ICVD.2004.1260897","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1260897","","Design methodology;Software design;Hardware;Embedded software;Embedded system;Application software;Electronics industry;Aerospace electronics;Automobiles;Electronic circuits","","3","","","IEEE","24 Aug 2004","9-9 Jan. 2004","9-9 Jan. 2004","IEEE","IEEE Conferences"
"On the compilation of statecharts models into target code for embedded systems","E. Erpenbach; J. Stroop; F. J. Rammig","C-Laboratories, Paderborn, Germany; C-Laboratories, Paderborn, Germany; C-Laboratories, Paderborn, Germany",Proceedings of the 1999 IEEE International Symposium on Computer Aided Control System Design (Cat. No.99TH8404),"6 Aug 2002","1999","","","249","254","Synchronous languages have proven to be very adequate for the modeling of embedded systems. Following the semantics of a synchronous language, a model starts execution from an initial state, receives signals from the environment and iterates until it reaches a stable state. Synchronous models thus react to a stimulus with a chain of actions, where the number of iteration steps in the chain reaction is not explicitly defined. This paper focuses on the language statecharts, and describes how knowledge about the worst-case number of iteration steps (WCNIS) that synchronous models execute to reach a stable state can be used to avoid time consuming run-time detection of stability and significantly improve the quality of programs generated from such models in general. Moreover, the paper describes a method for determining the WCNIS, a given statecharts model executes to reach a stable state. The method described has been integrated in a code generator for STATEMATE models, and experimental results are presented.","","0-7803-5500-8","10.1109/CACSD.1999.808656","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808656","","Embedded system;Computer architecture;Stability;Embedded computing;Random access memory;Runtime;Synchronous generators;Analytical models;Virtual prototyping;Flow graphs","","1","","9","IEEE","6 Aug 2002","27-27 Aug. 1999","27-27 Aug. 1999","IEEE","IEEE Conferences"
"Targeting different abstraction layers by model-based design methods for embedded systems: A case study","O. Rafique; M. Gesell; K. Schneider","Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany; Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany; Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany",2013 IEEE 19th International Conference on Embedded and Real-Time Computing Systems and Applications,"6 Feb 2014","2013","","","334","337","In this paper, we show how code can be generated at different levels of abstraction from a single source description. To this end, we use a model-driven development tool called Averest that is based on a synchronous programming language. We illustrate our approach by means of a case study from the domain of distributed real-time automotive embedded systems. This paper focuses thereby mainly on the use of the Averest toolkit to generate code at different levels of abstraction.","2325-1301","978-1-4799-0850-9","10.1109/RTCSA.2013.6732235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6732235","","Mathematical model;Unified modeling language;Switches;Pulse width modulation;Hardware;Embedded systems","","","","6","IEEE","6 Feb 2014","19-21 Aug. 2013","19-21 Aug. 2013","IEEE","IEEE Conferences"
"SmartC: A Component-Based Hierarchical Modeling Language for Automotive Electronics","G. Yang; H. Li; Z. Wu","College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China; College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China; College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China","2006 2nd IEEE International Symposium on Dependable, Autonomic and Secure Computing","19 Dec 2006","2006","","","203","210","This paper introduces SmartC, a language designed for programming automotive electronics embedded systems such as engine control systems. SmartC is a hierarchical modeling language and implements the SmartOSEK operating system model. The SmartC models are classified into four levels, namely module level, task level, subtask level and component level. In the SmartC models, control-flow oriented models and data-flow oriented models are integrated in the hybrid SmartC models. At the task level, the model is constructed based on the control flow, whereas the component level model is constructed based on the dataflow. In SmartC programs, all inter-task communication, task triggering mechanisms, and access to guarded global variables, are automatically generated by the SmartC generator which generates the C code from the SmartC code. Having well-structured concurrency mechanisms, SmartC greatly reduces the risk of concurrency errors, such as deadlock and race conditions. The SmartC language is implemented on the automated manual transmission (AMT) control system and is compatible with the OSEK/VDXspecifications. We use a continuous time (CT) model as an example to illustrate the effectiveness of the language","","0-7695-2539-3","10.1109/DASC.2006.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4030884","","Automotive electronics;Embedded system;Automotive engineering;Operating systems;Embedded software;Communication system control;Application software;Control system synthesis;Software systems;Automatic control","","3","","13","IEEE","19 Dec 2006","29 Sept.-1 Oct. 2006","29 Sept.-1 Oct. 2006","IEEE","IEEE Conferences"
"Feasibility Interval for the Transactional Event Handlers of P-FRP","C. Belwal; A. M. K. Cheng","Department of Computer Science, University of Houston, TX, USA; Department of Computer Science, University of Houston, TX, USA","2011IEEE 10th International Conference on Trust, Security and Privacy in Computing and Communications","2 Jan 2012","2011","","","966","973","Functional Reactive Programming (FRP) is a resource aware declarative approach for modeling and building safety-critical embedded systems. Recently, Priority-based FRP (P-FRP) was introduced as a formalism that guarantees real-time response. Due to the state-less nature of execution of functional programs, P-FRP implements a transactional nature of execution where preempted lower priority tasks are aborted. This makes the response time of a lower priority task completely dependent on the execution pattern of higher priority tasks. The feasibility interval in the classical preemptive model of real-time systems is known and is dependent on the least common multiple (LCM) of task periods. However, since the abort nature of preemption can induce side-effects on the execution of lower priority tasks, it has been unknown to date if the feasibility in P-FRP is also dependent on the LCM. In this paper, we rigorously prove that these side-effects of preemption are bounded within the LCM and formally derive a value of the feasibility interval in P-FRP. This value of feasibility interval is vital for more robust schedulability analysis of the P-FRP execution model.","2324-9013","978-1-4577-2135-9","10.1109/TrustCom.2011.133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6120926","Real-time systems;schedulability;functional programming;feasibility interval;response time analysis","Real time systems;Time factors;Semantics;Integrated circuit modeling;Analytical models;Computational modeling;Programming","","3","","22","IEEE","2 Jan 2012","16-18 Nov. 2011","16-18 Nov. 2011","IEEE","IEEE Conferences"
"SmartC: A Component-Based Hierarchical Modeling Language for Automotive Electronics","G. Yang; M. Zhao; Hongli; Z. Wu","College of Computer Science, Zhejiang University, Hangzhou, P. R. China; College of Computer Science, Zhejiang University, Hangzhou, P. R. China; College of Computer Science, Zhejiang University, Hangzhou, P. R. China; College of Computer Science, Zhejiang University, Hangzhou, P. R. China","2006 9th International Conference on Control, Automation, Robotics and Vision","16 Jul 2007","2006","","","1","6","This paper introduces SmartC, a language designed for programming automotive electronics embedded systems such as engine control systems. SmartC is a hierarchical modeling language and implements the SmartOSEK operating system model. The SmartC models are classified into four levels, namely module level, task level, subtask level and component level. In the SmartC models, control-flow oriented models and data-flow oriented models are integrated in the hybrid SmartC models. At the task level, the model is constructed based on the control flow, whereas the component level model is constructed based on the data flow. In SmartC programs, all inter-task communication, task triggering mechanisms, and access to guarded global variables, are automatically generated by the SmartC generator which generates the C code from the SmartC code. Having well-structured concurrency mechanisms, SmartC greatly reduces the risk of concurrency errors, such as deadlock and race conditions. The SmartC language is implemented on the automated manual transmission (AMT) control system and is compatible with the OSEK/VDX specifications. We use a continuous time (CT) model as an example to illustrate the effectiveness of the language.","","1-4244-0341-3","10.1109/ICARCV.2006.345212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4150282","OSEK/VDX;Modeling Language;Domain-specific Language","Automotive electronics;Embedded system;Automotive engineering;Embedded software;Operating systems;Control system synthesis;Communication system control;Application software;Software systems;Automatic control","","1","","15","IEEE","16 Jul 2007","5-8 Dec. 2006","5-8 Dec. 2006","IEEE","IEEE Conferences"
"Software-Defined Watchdog Timers for Cyber-Physical Systems","B. Asch; E. Jellum; M. Lohstroh; E. A. Lee","Department of Electrical Engineering and Computer Sciences, University of California at Berkeley, Berkeley, CA, USA; Department of Engineering Cybernetics, Norwegian University of Science and Technology, Tronheim, Norway; Department of Electrical Engineering and Computer Sciences, University of California at Berkeley, Berkeley, CA, USA; Department of Electrical Engineering and Computer Sciences, University of California at Berkeley, Berkeley, CA, USA",IEEE Embedded Systems Letters,"17 Apr 2025","2025","17","2","115","118","This letter introduces software-defined watchdogs, a programming model for handling faults that manifest as delayed or missing signals. The programming model is implemented as an extension to the polyglot coordination language Lingua Franca, where it acts as an eager deadline for delayed inputs. The technique is compared against hardware-defined watchdogs and software watchdogs in other reactive languages.","1943-0671","","10.1109/LES.2024.3467332","National Science Foundation (NSF, Consistency vs. Availability in Cyber-Physical Systems)(grant numbers:CNS-2233769); iCyPhy Research Center (Industrial Cyber-Physical Systems); Denso; Siemens; Toyota Motor Corporation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10693560","Cyber-physical systems;distributed systems;fault-handler;reactive programming;scheduling","Inductors;Codes;Dogs;Programming;Monitoring;Delays;Software","","2","","12","CCBY","25 Sep 2024","April 2025","","IEEE","IEEE Journals"
"Dangerous Driving Behavior Monitoring System based on Raspberry PI 5","T. Liu; L. Ding; Y. Yao; X. Deng; Y. Zhang; K. Jiang","College of Information and Communication, Guilin University of Electronic Technology, Guilin, China; College of Information and Communication, Guilin University of Electronic Technology, Guilin, China; College of Information and Communication, Guilin University of Electronic Technology, Guilin, China; College of Information and Communication, Guilin University of Electronic Technology, Guilin, China; College of Information and Communication, Guilin University of Electronic Technology, Guilin, China; College of Information and Communication, Guilin University of Electronic Technology, Guilin, China",2025 4th International Symposium on Computer Applications and Information Technology (ISCAIT),"3 Jun 2025","2025","","","1023","1028","According to the domestic and foreign highway traffic safety accident reports, driver fatigue driving and distracted driving are the main causes of traffic safety accidents, and the concealment and severity of accidents are much higher than others. Therefore, vehicle driving behavior monitoring plays an important role in reducing traffic accidents. This paper proposes a method based on image processing technology to detect fatigue driving and distracted driving. For the former, this paper uses the 68-aspect feature point detection algorithm encapsulated in the Dlib library, and extracts facial fatigue information through the shape detector of Dlib for face recognition and eye and mouth location tracking. For the latter, this paper proposes a driving behavior recognition method based on YOLOv5-Lite, a lightweight object detection model, which still has a good detection effect while reducing the calculation amount, so that it can be easily deployed to edge devices. The Python Flask micro framework and FRP (Fast Reverse Proxy) Intranet penetration tool are used to realize remote real-time web monitoring of drivers, complete the overall function of the system, and can effectively reduce road traffic safety accidents.","","979-8-3315-4285-6","10.1109/ISCAIT64916.2025.11010443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11010443","Fatigue detection;Distraction detection;YOLOv5Lite;Dlib;remote monitoring","Image edge detection;Face recognition;Computational modeling;Detectors;Fatigue;Feature extraction;Safety;Driver behavior;Accidents;Vehicles","","2","","7","IEEE","3 Jun 2025","21-23 March 2025","21-23 March 2025","IEEE","IEEE Conferences"
"Building a hybrid systems modeler from synchronous language principles","M. Pouzet","D1, Ecole normale superieure",2015 International Conference on Embedded Software (EMSOFT),"9 Nov 2015","2015","","","125","126","Hybrid systems modeling languages are widely used in the development of embedded systems. Two representatives are Simulink/Stateflow1 that combine Ordinary Differential Equations (ODEs), data-flow and difference equations, hierarchical automata a la StateCharts [14] together with imperative features; and the Modelica language [1]2 based on DAEs with features for modeling discrete components. Ptolemy II3 is another example in which several models of computation are combined [15]. The formal verification of hybrid systems has been extensively studied [9]. Yet, we share the viewpoint of Lee and Zheng that hybrid modeling languages are best viewed as programming languages that happen to have a hybrid systems semantics [16, 17]. This raises important questions related to their design, semantics and implementation, to get efficient and reliable simulations as well as provably equivalent embedded target code. While sequential code generation in hybrid modeling tools is routinely used for efficient simulation, it is little used or not used at all to produce target embedded code in critical applications that are submitted to strong safety requirements. This results in a break in the development chain: parts of applications must be rewritten into sequential code and all properties verified on the source model cannot be trusted and have to be reverified on the target code.","","978-1-4673-8079-9","10.1109/EMSOFT.2015.7318267","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318267","Real-time systems;Hybrid systems;Synchronous languages;Block diagrams;Compilation;Semantics;Type systems","Computational modeling;Mathematical model;Semantics;Object oriented modeling;Embedded systems;Automata;Computer languages","","1","","18","IEEE","9 Nov 2015","4-9 Oct. 2015","4-9 Oct. 2015","IEEE","IEEE Conferences"
"Blech, Imperative Synchronous Programming!","F. Gretz; F. -J. Grosch","Robert Bosch GmbH Corporate Research, Renningen, Germany; Robert Bosch GmbH Corporate Research, Renningen, Germany",2018 Forum on Specification & Design Languages (FDL),"8 Nov 2018","2018","","","5","16","We discuss how separate compilation and usage of structured data can be achieved in a synchronous imperative programming language for embedded systems. Our focus is on the practical aspects of these questions regarding expressiveness in programs as well as causality analysis and code generation. The approach is illustrated by means of examples written in our new language “Blech”.","1636-9874","978-1-5386-6418-6","10.1109/FDL.2018.8524036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8524036","embedded software;synchronous programming languages;separate compilation;causality analysis;structured data","Programming;Reactive power;Software;Runtime environment;Payloads;Computer languages","","4","","12","IEEE","8 Nov 2018","10-12 Sept. 2018","10-12 Sept. 2018","IEEE","IEEE Conferences"
