database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
wos,17,WOS:000803059600007,The Sparse Synchronous Model,"Edwards, SA; Hui, J",the sparse synchronous model,edwards sa hui j,2020,10.1109/fdl50818.2020.9232938,PROCEEDINGS OF THE 2020 FORUM FOR SPECIFICATION AND DESIGN LANGUAGES (FDL),Proceedings Paper,View Full Record in Web of Science
wos,18,WOS:000342305300002,Synchronous Techniques for Software and Hardware Embedded Systems,"Berry, G",synchronous techniques for software and hardware embedded systems,berry g,2009,10.3233/978-1-58603-976-9-43,ENGINEERING METHODS AND TOOLS FOR SOFTWARE SAFETY AND SECURITY,Proceedings Paper,View Full Record in Web of Science
wos,19,WOS:000217661400007,Utilisation bounds of P-FRP tasks,"Belwal, C; Wen, YF; Cheng, AMK",utilisation bounds of p frp tasks,belwal c wen yf cheng amk,2014,10.1504/IJES.2014.060918,INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS,Article,View Full Record in Web of Science
wos,20,WOS:000296681800020,Determining Actual Response Time in P-FRP,"Belwal, C; Cheng, AMK",determining actual response time in p frp,belwal c cheng amk,2011,,PRACTICAL ASPECTS OF DECLARATIVE LANGUAGES,Proceedings Paper,View Full Record in Web of Science
wos,21,WOS:000410208500134,Feasibility Interval for the Transactional Event Handlers of P-FRP,"Belwal, C; Cheng, AMK",feasibility interval for the transactional event handlers of p frp,belwal c cheng amk,2011,10.1109/TrustCom.2011.133,TRUSTCOM 2011: 2011 INTERNATIONAL JOINT CONFERENCE OF IEEE TRUSTCOM-11/IEEE ICESS-11/FCST-11,Proceedings Paper,View Full Record in Web of Science
wos,22,WOS:000316837300003,Feasibility interval for the transactional event handlers of P-FRP,"Belwal, C; Cheng, AMK; Liu, B",feasibility interval for the transactional event handlers of p frp,belwal c cheng amk liu b,2013,10.1016/j.jcss.2012.11.006,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,Article,View Full Record in Web of Science
wos,23,WOS:001314212800005,Programming Microcontrollers through High-Level Abstractions,"Varoumas, S; Pesin, B; Vaugon, B; Chailloux, E",programming microcontrollers through high level abstractions,varoumas s pesin b vaugon b chailloux e,2020,10.1145/3427765.3428495,"PROCEEDINGS OF THE 12TH ACM SIGPLAN INTERNATIONAL WORKSHOP ON VIRTUAL MACHINES AND INTERMEDIATE LANGUAGES, VMIL 2020",Proceedings Paper,View Full Record in Web of Science
wos,24,WOS:000427173400007,Autonomic Management of Missions and Reconfigurations in FPGA-based Embedded System,"Gueye, SMK; Rutten, É; Diguet, JP",autonomic management of missions and reconfigurations in fpga based embedded system,gueye smk rutten é diguet jp,2017,,2017 NASA/ESA CONFERENCE ON ADAPTIVE HARDWARE AND SYSTEMS (AHS),Proceedings Paper,View Full Record in Web of Science
wos,25,WOS:001150037200001,Programming microcontrollers through high-level abstractions: The OMicroB project,"Varoumas, S; Pesin, B; Vaugon, B; Chailloux, E",programming microcontrollers through high level abstractions the omicrob project,varoumas s pesin b vaugon b chailloux e,2023,10.1016/j.cola.2023.101228,JOURNAL OF COMPUTER LANGUAGES,Article,View Full Record in Web of Science
wos,26,WOS:000225880300026,Customizing processor cores to support reactivity,"Salcic, Z; Roop, P",customizing processor cores to support reactivity,salcic z roop p,2004,,ERSA '04: THE 2004 INTERNATIONAL CONFERENCE ON ENGINEERING OF RECONFIGURABLE SYSTEMS AND ALGORITHMS,Proceedings Paper,View Full Record in Web of Science
wos,27,WOS:001758954500005,WCET of OCaml Bytecode on Microcontrollers: An Automated Method and Its Formalisation,"Varoumas, S; Crolard, T",wcet of ocaml bytecode on microcontrollers an automated method and its formalisation,varoumas s crolard t,2019,10.4230/OASIcs.WCET.2019.5,"19TH INTERNATIONAL WORKSHOP ON WORST-CASE EXECUTION TIME ANALYSIS, WCET 2019",Proceedings Paper,View Full Record in Web of Science
wos,28,WOS:000173022800018,An ESTEREL-based reactive JAVA extension for reactive embedded systems development,"Antoniotti, M; Ferrari, A; Flesca, A; Sangiovanni-Vincentelli, A",an esterel based reactive java extension for reactive embedded systems development,antoniotti m ferrari a flesca a sangiovanni vincentelli a,2001,,SYSTEM-ON-CHIP METHODOLOGIES & DESIGN LANGUAGES,Proceedings Paper,View Full Record in Web of Science
wos,29,WOS:000389942800011,Formally Unifying Modeling and Design for Embedded Systems - A Personal View,"Berry, G",formally unifying modeling and design for embedded systems a personal view,berry g,2016,10.1007/978-3-319-47169-3_11,"LEVERAGING APPLICATIONS OF FORMAL METHODS, VERIFICATION AND VALIDATION: DISCUSSION, DISSEMINATION, APPLICATIONS, ISOLA 2016, PT II",Proceedings Paper,View Full Record in Web of Science
wos,30,WOS:000842999100003,FRP IoT Modules as a Scala DSL,"Calus, B; Reynders, B; Devriese, D; Noorman, J; Piessens, F",frp iot modules as a scala dsl,calus b reynders b devriese d noorman j piessens f,2017,10.1145/3141858.3141861,PROCEEDINGS OF THE 4TH ACM SIGPLAN INTERNATIONAL WORKSHOP ON REACTIVE AND EVENT-BASED LANGUAGES AND SYSTEMS (REBLS'17),Proceedings Paper,View Full Record in Web of Science
wos,31,WOS:000180715800005,The synchronous languages 12 years later,"Benveniste, A; Caspi, P; Edwards, SA; Halbwachs, N; Le Guernic, P; De Simone, R",the synchronous languages 12 years later,benveniste a caspi p edwards sa halbwachs n le guernic p de simone r,2003,10.1109/JPROC.2002.805826,PROCEEDINGS OF THE IEEE,Article,View Full Record in Web of Science
wos,32,WOS:000217397600005,Safe design of high-performance embedded systems in an MDE framework,"Yu, HF; Gamatié, A; Rutten, E; Dekeyser, JL",safe design of high performance embedded systems in an mde framework,yu hf gamatié a rutten e dekeyser jl,2008,10.1007/s11334-008-0059-y,INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING,Article,View Full Record in Web of Science
wos,33,WOS:000165398900002,An implementation of constructive synchronous programs in POLIS,"Berry, G; Sentovich, EM",an implementation of constructive synchronous programs in polis,berry g sentovich em,2000,10.1023/A:1008796718837,FORMAL METHODS IN SYSTEM DESIGN,Article,View Full Record in Web of Science
wos,34,WOS:000173975000047,Validating real-time constraints in embedded systems,"Shyamasundar, RK; Aghav, JV",validating real time constraints in embedded systems,shyamasundar rk aghav jv,2001,,"2001 PACIFIC RIM INTERNATIONAL SYMPOSIUM ON DEPENDABLE COMPUTING, PROCEEDINGS",Proceedings Paper,View Full Record in Web of Science
wos,35,WOS:001063201700034,Context-Aware Task Handling in Resource-Constrained Robots with Virtualization,"Hadidi, R; Ghaleshahi, NS; Asgari, B; Kim, H",context aware task handling in resource constrained robots with virtualization,hadidi r ghaleshahi ns asgari b kim h,2023,10.1109/EDGE60047.2023.00047,"2023 IEEE INTERNATIONAL CONFERENCE ON EDGE COMPUTING AND COMMUNICATIONS, EDGE",Proceedings Paper,View Full Record in Web of Science
wos,36,WOS:001118067100014,Timestamp Peripherals for Precise Real-Time Programming,"Hui, J; Edwards, KJ; Edwards, SA",timestamp peripherals for precise real time programming,hui j edwards kj edwards sa,2023,10.1145/3610579.3611084,"2023 21ST ACM-IEEE INTERNATIONAL SYMPOSIUM ON FORMAL METHODS AND MODELS FOR SYSTEM DESIGN, MEMOCODE",Proceedings Paper,View Full Record in Web of Science
wos,37,WOS:001315084300005,Reactive Programming on the Bare Metal: A Formal Model for a Low-Level Reactive Virtual Machine,"Oeyen, B; De Koster, J; De Meuter, W",reactive programming on the bare metal a formal model for a low level reactive virtual machine,oeyen b de koster j de meuter w,2022,10.1145/3563837.3568342,"PROCEEDINGS OF THE 9TH ACM SIGPLAN INTERNATIONAL WORKSHOP ON REACTIVE AND EVENT-BASED LANGUAGES AND SYSTEMS, REBLS 2022",Proceedings Paper,View Full Record in Web of Science
wos,38,WOS:000280084600001,SystemJ: A GALS language for system level design,"Malik, A; Salcic, Z; Roop, PS; Girault, A",systemj a gals language for system level design,malik a salcic z roop ps girault a,2010,10.1016/j.cl.2010.01.001,COMPUTER LANGUAGES SYSTEMS & STRUCTURES,Article,View Full Record in Web of Science
wos,39,WOS:001120585500001,Cognizant Fiber-Reinforced Polymer Composites Incorporating Seamlessly Integrated Sensing and Computing Circuitry,"Jaradat, M; Duran, JL; Murcia, DH; Buechley, L; Shen, YL; Christodoulou, C; Taha, MR; Merino, JC; Santiago-Calvo, M; Asensio-Valentin, M; Nunez, K; Li, CG",cognizant fiber reinforced polymer composites incorporating seamlessly integrated sensing and computing circuitry,jaradat m duran jl murcia dh buechley l shen yl christodoulou c taha mr merino jc santiago calvo m asensio valentin m nunez k li cg,2023,10.3390/polym15224401,POLYMERS,Article,View Full Record in Web of Science
wos,40,WOS:000636179700020,Fuel Rail Pressure Control Characteristics of a GDI High-Pressure Fuel Pump Using a Newly Developed Experimental System Controlled with a Microcontroller,"Lee, BJ; Lee, CH",fuel rail pressure control characteristics of a gdi high pressure fuel pump using a newly developed experimental system controlled with a microcontroller,lee bj lee ch,2021,10.1007/s12239-021-0045-z,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,Article,View Full Record in Web of Science
wos,41,WOS:000519731400002,"Blech, imperative synchronous programming!","Gretz, F; Grosch, FJ",blech imperative synchronous programming,gretz f grosch fj,2018,,PROCEEDINGS OF THE 2018 FORUM ON SPECIFICATION & DESIGN LANGUAGES (FDL),Proceedings Paper,View Full Record in Web of Science
wos,42,WOS:000458741200027,Building IoT Systems Using Distributed First-Class Reactive Programming,"De Troyer, C; Nicolay, J; De Meuter, W",building iot systems using distributed first class reactive programming,de troyer c nicolay j de meuter w,2018,10.1109/CloudCom2018.2018.00045,2018 16TH IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING TECHNOLOGY AND SCIENCE (CLOUDCOM 2018),Proceedings Paper,View Full Record in Web of Science
wos,43,WOS:000257508500015,An ALU cluster Intellectual Property for magnetic RAM media applications platform,"Liou, CY; Chiueh, H",an alu cluster intellectual property for magnetic ram media applications platform,liou cy chiueh h,2008,,"MTTD 2007 TAIPEI: PROCEEDINGS OF 2007 IEEE INTERNATIONAL WORKSHOP ON MEMORY TECHNOLOGY, DESIGN, AND TESTING (MTD '07)",Proceedings Paper,View Full Record in Web of Science
wos,44,WOS:000342995200003,Adaptivity in high-performance embedded systems: a reactive control model for reliable and flexible design,"Yu, HF; Gamatié, A; Rutten, É; Dekeyser, JL",adaptivity in high performance embedded systems a reactive control model for reliable and flexible design,yu hf gamatié a rutten é dekeyser jl,2014,10.1017/S0269888914000150,KNOWLEDGE ENGINEERING REVIEW,Review,View Full Record in Web of Science
wos,45,WOS:000345181100007,Constructive polychronous systems,"Talpin, JP; Brandt, J; Gemünde, M; Schneider, K; Shukla, S",constructive polychronous systems,talpin jp brandt j gemünde m schneider k shukla s,2014,10.1016/j.scico.2014.04.009,SCIENCE OF COMPUTER PROGRAMMING,Article,View Full Record in Web of Science
wos,46,WOS:000346219200009,Building Timing Predictable Embedded Systems,"Axer, P; Ernst, R; Falk, H; Girault, A; Grund, D; Guan, N; Jonsson, B; Marwedel, P; Reineke, J; Rochange, C; Sebastian, M; Von Hanxleden, R; Wilhelm, R; Yi, W",building timing predictable embedded systems,axer p ernst r falk h girault a grund d guan n jonsson b marwedel p reineke j rochange c sebastian m von hanxleden r wilhelm r yi w,2014,10.1145/2560033,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,Article,View Full Record in Web of Science
wos,47,WOS:000072948100008,Formal semantics for Ward and Mellor's transformation schemas and its application to fault tolerant systems,"Petersohn, C; Huizing, C; Peleska, J; de Roever, WP",formal semantics for ward and mellor s transformation schemas and its application to fault tolerant systems,petersohn c huizing c peleska j de roever wp,1998,,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,Article,View Full Record in Web of Science
wos,48,WOS:000180715800014,Model-based programming of intelligent embedded systems and robotic space explorers,"Williams, BC; Ingham, MD; Chung, SH; Elliott, PH",model based programming of intelligent embedded systems and robotic space explorers,williams bc ingham md chung sh elliott ph,2003,10.1109/JPROC.2002.805828,PROCEEDINGS OF THE IEEE,Article,View Full Record in Web of Science
wos,49,WOS:000291997500002,Multi-task Implementation of Multi-periodic Synchronous Programs,"Pagetti, C; Forget, J; Boniol, F; Cordovilla, M; Lesens, D",multi task implementation of multi periodic synchronous programs,pagetti c forget j boniol f cordovilla m lesens d,2011,10.1007/s10626-011-0107-x,DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,Article; Proceedings Paper,View Full Record in Web of Science
